"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"服务商后台接口","佣金结算模块","拓展组佣金","0","0","2","0","0"
"服务商后台接口","首页模块","收款渠道统计","0","0","4","0","0"
"服务商后台接口","首页模块","收款方式","0","0","4","0","0"
"服务商后台接口","商户列表模块","顶部统计信息","0","0","1","0","0"
"服务商后台接口","员工管理模块","权限组配置","1","0","6","0","0"
"服务商后台接口","设备管理","设备列表","0","0","14","0","0"
"服务商后台接口","商户详情","查询商户号","0","0","1","0","0"
"服务商后台接口","员工管理模块","员工列表","0","0","10","0","0"
"服务商后台接口","商户详情","修改商户POS刷卡费率","0","0","2","0","0"
"服务商后台接口","商户列表模块","商户列表信息展示","0","0","2","0","0"
"服务商后台接口","佣金结算模块","佣金结算","0","0","9","0","0"
"服务商后台接口","交易流水","订单列表","0","0","9","0","0"
"服务商后台接口","商户详情","开通银盛D0","0","0","2","0","0"
"服务商后台接口","业务拓展","分组人员","0","0","5","0","0"
"服务商后台接口","员工管理模块","员工操作","1","0","3","0","0"
"服务商后台接口","登录页面","验证码登录","0","0","6","0","0"
"服务商后台接口","首页模块","交易趋势","0","0","4","0","0"
"服务商后台接口","开放平台","开放平台","0","0","2","0","0"
"服务商后台接口","商户详情","禁用门店","0","0","2","0","0"
"服务商后台接口","商户详情","查询商户详情","0","0","1","0","0"
"服务商后台接口","交易流水","退单流水","0","0","4","0","0"
"服务商后台接口","商户详情","开通数字人民币","0","0","2","0","0"
"服务商后台接口","登录模块","登录","0","0","7","0","0"
"服务商后台接口","首页模块","收款渠道","0","0","4","0","0"
"服务商后台接口","商户详情","新增关联商户","0","0","4","0","0"
"服务商后台接口","首页模块","商户排行","0","0","4","0","0"
"服务商后台接口","活动管理","活动列表","0","0","3","0","0"
"服务商后台接口","商户详情","查询商户POS刷卡详情","0","0","2","0","0"
"服务商后台接口","首页模块","顶部统计数据","0","0","4","0","0"
"服务商后台接口","商户禁用","禁用商户账号","0","0","2","0","0"
"服务商后台接口","商户详情","查看门店详情","0","0","1","0","0"
"服务商后台接口","商户详情","查看商户门店列表","0","0","1","0","0"
"服务商后台接口","商户详情","查询商户数字人民币开通状态","0","0","1","0","0"
"服务商后台接口","商户详情","查询商户交易数据","0","0","1","0","0"
"服务商后台接口","商户列表模块","拓展员下拉列表展示","0","0","1","0","0"
"服务商后台接口","商户详情","查询商户云闪付状态","0","0","1","0","0"
"服务商后台接口","商户详情","查询商户通道开通状态","0","0","1","0","0"
"服务商后台接口","首页模块","查询登录用户权限","0","0","1","0","0"
"服务商后台接口","业务拓展","新增拓展组","0","0","3","0","0"
"服务商后台接口","商户详情","通道配置","0","0","2","0","0"
"服务商后台接口","商户详情","通道批量配置","0","0","1","0","0"
"服务商后台接口","商户列表模块","商户账号下拉数据展示","0","0","1","0","0"
"服务商后台接口","账户中心","修改密码","0","0","0","1","0"
"服务商后台接口","交易流水模块","搜索条件","0","0","2","0","0"
"服务商后台接口","商户详情","银盛D0","0","0","1","0","0"
"服务商后台接口","解决方案","解决方案","0","0","1","0","0"
"服务商后台接口","账户中心","账户中心","0","0","1","0","0"
"服务商后台接口","商户详情","查询商户乐刷分账开通状态","0","0","1","0","0"
"服务商后台接口","商户列表模块","所属拓展组下拉数据展示","0","0","1","0","0"
"服务商后台接口","商户详情","通道管理","0","0","1","0","0"
"服务商后台接口","商户详情","商户实名认证","0","0","1","0","0"
"服务商后台接口","商户详情","商户分账授权状态","0","0","1","0","0"
"服务商后台接口","首页模块","查询通道地区code码","0","0","1","0","0"
"服务商后台接口","商户详情","查询商户费率","0","0","1","0","0"
