"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 11 16:49:30 CST 2023","Tue Jul 11 16:49:30 CST 2023","265","test_case.Commission_settlement","test_Download_AgentPartnerCommissionSettleToExcel","TestDownloadAgentpartnercommissionsettletoexcel","","","test_Download_AgentPartnerCommissionSettleToExcel[拓展组佣金导出]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:25 CST 2023","Tue Jul 11 16:49:25 CST 2023","101","test_case.Agent_Homepage","test_Pay_BizProportion","TestPayBizproportion","","","test_Pay_BizProportion[近七日收款渠道统计]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:26 CST 2023","Tue Jul 11 16:49:26 CST 2023","222","test_case.Agent_Homepage","test_Pay_TypeProportion","TestPayTypeproportion","","","test_Pay_TypeProportion[近三日收款方式统计]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:45 CST 2023","Tue Jul 11 16:49:45 CST 2023","72","test_case.Merchant_Management","test_Get_ListStatistic","TestGetListstatistic","","","test_Get_ListStatistic[顶部商户统计信息]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:32 CST 2023","Tue Jul 11 16:49:32 CST 2023","495","test_case.Employee_Manage","test_Add_platformRole","TestAddPlatformrole","","","test_Add_platformRole[编辑权限组]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:35 CST 2023","Tue Jul 11 16:49:35 CST 2023","91","test_case.Equipment_Management","test_Query_DeviceModel","TestQueryDevicemodel","","","test_Query_DeviceModel[查询设备型号]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:43 CST 2023","Tue Jul 11 16:49:43 CST 2023","99","test_case.Merchant_Details","test_Query_SubMerchantNoInfo","TestQuerySubmerchantnoinfo","","","test_Query_SubMerchantNoInfo[查询商户号]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:32 CST 2023","Tue Jul 11 16:49:32 CST 2023","120","test_case.Employee_Manage","test_Add_platformRole","TestAddPlatformrole","","","test_Add_platformRole[查询权限组]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:32 CST 2023","Tue Jul 11 16:49:33 CST 2023","100","test_case.Employee_Manage","test_Query_AgentUser","TestQueryAgentuser","","","test_Query_AgentUser[查询员工列表]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:45 CST 2023","Tue Jul 11 16:49:45 CST 2023","134","test_case.Merchant_Details","test_Update_SwipeRate","TestUpdateSwiperate","","","test_Update_SwipeRate[修改商户POS刷卡D0到账费率]","
        :param :
        :return:
        "
"passed","Tue Jul 11 16:49:35 CST 2023","Tue Jul 11 16:49:35 CST 2023","209","test_case.Equipment_Management","test_Query_DeviceList","TestQueryDevicelist","","","test_Query_DeviceList[查询授权码为空的设备]","
        :param :
        :return:
        "
